Company,Job Title,Application Link,Date Applied,Status,Questions,Answered
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 03:50:59
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 03:52:17
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:30:08
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:31:42
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:33:11
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:34:21
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:42:18
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:45:23
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:47:12
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:55:36
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:56:15
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 04:56:50
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:23:58
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:24:29
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 05:31:12,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 20:47:44,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 20:51:24,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-06 21:05:33,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 02:23:33,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 20:45:32,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 20:53:34,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:16:42,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:18:20,Failed
Federato,Senior Machine Learning Engineer,https://jobs.lever.co/Federato/7ca318a4-1da1-4f79-ad80-7e65b51aa11b/apply?source=LinkedIn,2025-02-07 21:22:28,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-07 21:23:46,Failed
Federato,Machine Learning Engineer,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 00:02:52,Failed
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 00:04:08,Failed
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 01:33:42,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 01:40:21,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 01:51:46,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-26 01:52:39,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 01:55:49,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 02:02:38,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 02:16:26,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 02:31:27,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 02:38:15,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 02:45:27,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-26 02:46:52,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 03:02:33,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-26 03:03:23,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/concurrency/b6883eea-f36f-4082-b184-58395b433e0e/apply?source=LinkedIn,2025-02-26 03:03:53,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/Federato/7ca318a4-1da1-4f79-ad80-7e65b51aa11b/apply?source=LinkedIn,2025-02-26 03:04:20,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/gridmatic/91df21b7-9d76-47a1-a88e-35801f801d98?source=LinkedIn,2025-02-26 03:04:53,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/zoox/f61979b0-eb89-43ad-b11b-544b2d46baa8/apply?source=LinkedIn,2025-02-26 03:05:33,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/AIFund/9f27f5ff-7c4b-4eff-9a04-2d9d323e13af,2025-02-26 03:06:04,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 03:06:31,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/AIFund/9f27f5ff-7c4b-4eff-9a04-2d9d323e13af,2025-02-26 03:06:58,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/wasabi/04979560-92bd-4213-9edf-1ccd1877c9e3/apply?source=LinkedIn,2025-02-26 03:07:26,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 03:07:58,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/AIFund/9f27f5ff-7c4b-4eff-9a04-2d9d323e13af,2025-02-26 03:08:31,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/wasabi/04979560-92bd-4213-9edf-1ccd1877c9e3/apply?source=LinkedIn,2025-02-26 03:08:52,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Unknown Job Title,https://jobs.lever.co/Federato/ca664080-ae5b-4cac-88f9-137d3d9f0c78/apply?source=LinkedIn,2025-02-26 03:09:22,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 03:10:54,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 03:12:42,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 03:35:41,Failed,"{'Question 1': 'Not Answered', 'Question 2': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 03:39:17,Failed,"{'Question 1': 'Not Answered', 'Question 2': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-26 03:41:04,Failed,"{'Question 1': 'Not Answered', 'Question 2': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 03:50:15,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 03:55:57,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 04:00:15,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 04:11:30,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 04:49:46,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 04:51:44,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 04:55:50,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 05:03:50,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you authorized to work in the United States?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 05:17:23,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 05:25:36,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Woven by Toyota,"Senior Machine Learning Engineer, Autolabeling",https://jobs.lever.co/woven-by-toyota/0da237aa-d218-4a5e-9bb1-3e2157c5961a/apply?source=LinkedIn,2025-02-26 05:27:17,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 05:29:53,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered', 'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 20:39:12,Failed,"{'Question 1': 'Not Answered', 'Question 2': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 21:12:00,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered', 'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 21:20:49,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered', 'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 21:48:01,Failed,"{'Do you have experience with Python?': 'Not Answered', 'Do you have a degree in Computer Science?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered', 'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 21:51:37,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 22:14:41,Failed,"{'Are you open to a hybrid schedule,based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
Unknown Company,Founding AI Engineer,https://jobs.lever.co/menlovc/2a6345ea-3b7a-4371-be09-4ce647036233,2025-02-26 22:34:27,Failed,"{'Are you open to a hybrid schedule, based in the SF Bay Area?': 'Not Answered', 'Are you willing to relocate?': 'Not Answered'}"
